idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
46,ok,0.0722153,0.0280863,7.00578,0.0614667,0.134984,0.26853,0.345492,0.0132064,0.01119,0.0590394,0.0101553,-0.104288,1.6045,19.5,queda,1,55,3,30,0.106376,-0.03178,-0.298752,1,0.5,0.38004,0.309795,0.2988,0.373383,-0.237008,-0.436103,-0.455346,-0.0403404
47,descartado_t_max,0.0189542,0.00919753,3.51191,0.0328353,0.0717586,0.154822,0.394764,0.00748864,-0.00711686,0.375655,0.0060654,-0.0588212,,,,,,,,,,,,,,,,,,,,
48,ok,0.011948,0.0253997,2.99314,0.0378901,0.0836399,0.186657,0.427606,0.0200889,-0.0173788,0.248867,-0.00366981,0.0329323,1.5543,22.5,queda,1,44,3,23.5,0.0601291,-0.06382,-1.06138,1,0.5,0.154583,0.153077,0.310464,0.291396,-0.225387,-0.318903,-0.248158,-0.394921
49,ok,0.0333769,0.0648639,5.41844,0.0615978,0.134813,0.248043,0.30323,0.015008,0.0173001,0.591761,0.00733485,-0.0412035,1.6445,27,queda,1,55,5,30,0.0735661,-0.03646,-0.495609,1,0.5,0.258368,0.380007,0.366187,0.274508,-0.360177,-0.364179,-0.125503,-0.23012
50,ok,0.0346693,0.0151025,4.71069,0.0432893,0.093245,0.191427,0.414035,0.0173214,0.0152669,0.771221,0.0137522,-0.114768,1.8565,20.5,queda,1,55,5,30,0.090962,-0.00498,-0.0547482,1,0.5,0.263322,0.165849,0.350434,0.437753,-0.173796,-0.274341,-0.283532,-0.139674
51,ok,0.0143333,0.0358937,4.28612,0.0446511,0.106585,0.267825,0.368063,0.0182637,-0.0116767,0.218958,0.00539555,-0.0615022,1.3886,29.5,topo_achatado,1,58,3,30,0.0657022,-0.00932,-0.141852,1,0.5,0.169312,0.451295,0.226902,0.41379,-0.267932,-0.4527,-0.392566,-0.19835
52,ok,0.0267038,0.0469033,4.15162,0.0532451,0.114632,0.212649,0.345492,0.0173056,-0.022053,0.227132,0.011916,-0.0959637,nan,nan,vazia,0,0,0,nan,nan,nan,nan,1,0.5,0.231101,0.147206,0.355571,0.40567,-0.306278,-0.405252,-0.210828,-0.177164
53,ok,0.00804217,0.021726,3.33485,0.0336942,0.0761846,0.164495,0.375655,0.0202276,0.0197931,0.429549,0.00591849,-0.0407455,1.5609,21.5,queda,1,47,6,27,0.0768438,-0.04294,-0.558796,1,0.5,0.126824,0.370715,0.190401,0.402069,-0.208451,-0.137053,-0.140374,-0.31056
54,ok,0.00894683,0.0422518,3.35947,0.0422723,0.0927491,0.185291,0.35298,0.011985,-0.0129291,0.684062,-0.0082451,0.0537204,1.5,20.5,queda,1,51,2,26,0.100424,-0.0402,-0.400304,1,0.5,0.133767,0.352247,0.13526,0.154231,-0.290695,-0.157439,-0.376858,-0.237829
55,descartado_t_max,0.0644268,0.0225653,7.11158,0.057368,0.129611,0.284829,0.351104,0.00600501,0.0149644,0.103722,0.00461189,-0.045121,,,,,,,,,,,,,,,,,,,,
56,ok,0.0552913,0.0129324,6.7256,0.049119,0.107587,0.207478,0.328785,0.00932614,0.0330112,0.209293,-0.00227242,0.0127996,1.3264,28.5,topo_achatado,1,53,6,30,0.114957,-0.00614,-0.0534112,1,0.5,0.33254,0.439096,0.192851,0.146539,-0.160826,-0.148584,-0.351049,-0.144386
57,ok,0.0280582,0.0208529,4.5647,0.0439818,0.0968598,0.193662,0.351104,0.0139453,0.020589,0.779416,0.0189622,-0.162092,1.955,22,queda,1,58,3,30,0.101682,-0.0253,-0.248815,1,0.5,0.236889,0.242094,0.263974,0.451482,-0.20422,-0.305658,-0.236413,-0.0137694
58,ok,0.0155472,0.0302661,3.8163,0.0421375,0.0933572,0.216496,0.41017,0.0121822,0.0102582,0.739154,0.00883251,-0.0732365,1.7625,24.5,queda,1,58,2,30,0.0734008,-0.21652,-2.94983,1,0.5,0.176336,0.281783,0.403922,0.283584,-0.246033,-0.247924,-0.381753,-0.0901022
59,ok,0.0540633,0.0430905,5.89392,0.0613016,0.129056,0.216999,0.314114,0.0155103,-0.00852662,0.566561,-0.00560925,0.0439577,1.7096,21,queda,1,59,2,30,0.0962165,-0.04068,-0.422797,1,0.5,0.328826,0.220772,0.280579,0.202045,-0.293566,-0.293721,-0.308697,-0.31263
60,ok,0.0223964,0.0537559,4.46392,0.0530948,0.111583,0.197925,0.369958,0.0162697,-0.00767516,0.0426964,-0.00232841,0.0119838,1.5698,22.5,queda,1,52,7,30,0.0703166,-0.03912,-0.556341,1,0.5,0.211643,0.321621,0.246383,0.270703,-0.32789,-0.107398,-0.392495,-0.267557
61,ok,0.0315837,0.0385653,4.9129,0.0522892,0.111556,0.200943,0.343625,0.0162138,0.0234479,0.560718,0.00919784,-0.0514127,1.8519,22.5,queda,1,55,5,30,0.0712416,-0.13578,-1.90591,1,0.5,0.251331,0.266876,0.426714,0.299633,-0.277724,-0.232009,-0.128121,-0.244224
62,ok,0.0847906,0.00993886,7.8388,0.0551436,0.121669,0.242705,0.338041,0.0107932,0.0355008,0.212497,0.0106085,-0.0685997,nan,nan,vazia,0,0,0,nan,nan,nan,nan,1,0.5,0.411802,0.396593,0.436708,0.228705,-0.140988,-0.298579,-0.217393,-0.105638
63,ok,0.0200641,0.0102167,4.27794,0.0350883,0.0840369,0.214534,0.373754,0.0151445,-0.0185615,0.507854,-0.00246544,-0.00360203,1.3999,19.5,queda,1,55,5,30,0.102816,-0.06378,-0.620329,1,0.5,0.20032,0.325908,0.123233,0.296554,-0.142945,-0.395374,-0.380918,-0.212014
